Year,Ozone Deficit (Mt)
1979,0.99
1980,12.77
1981,3.5
1982,73.14
1983,184.02
1984,255.49
1985,629.58
1986,346.16
1987,1365.64
1988,197.62
1989,916.66
1990,1180.74
1991,998.32
1992,1528.56
1993,1832.89
1994,
1995,
1996,2175.72
1997,1758.62
1998,2419.9
1999,2249.62
2000,2163.96
2001,2298.21
2002,574.84
2003,1893.56
2004,974.73
2005,1870.88
2006,2559.96
2007,1772.02
2008,1982.72
2009,1806.27
2010,1352.57
2011,2123.65
2012,719.7
2013,1037.26
2014,1251.49
2015,2197.2
2016,1217.92
2017,732.66
2018,1810.07
2019,365.84
2020,2474.07
,
Mean 2000-2018,1596.82
Mean 2009-2018,1424.879
60th Percentile 2009-2018,1807.41
Median 1979-2018,
